Область,Регион,Город,Гор.район,Квартал,Улица,Дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,13ква-л,Ул.40 лет Победы,126 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,12 кв.,Ул.Автостроителей,здание 94
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Матросова улиц.,52
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Куйбышева улиц.,30 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,12 кв.,Свердлова ул.,здание 2
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.6,Московский пр-кт,57 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Голосова улиц.,здание 71
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Студенческий проезд,80 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Белорусская ул.,10 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Яблоневый проезд,42 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Яблоневый проезд,Д.64
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Белорусская ул.,Д.12
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Калинина ул.,14В д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Пролетарская ул.,75 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Люксембург Р.проезд,16 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,12 кв.,Свердлова ул.,Д.14/47
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Чайкиной,Д.29
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Матросова улиц.,48 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,12 кв.,Гая б-р.,Д.21
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,20 кв,улица Тополиная,9 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Калинина ул.,здание 14
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Ярославская ул.,Д.51
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Яблоневый проезд,Д.111
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Северная ул.,2А дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ул.Ставропольская,43 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,7 к.,Ул.Юбилейная,Д.51
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Калинина ул.,14Г д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Мира,150 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ушакова улиц.,49 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,14 кв-л,Ул.Автостроителей,59 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Матросова улиц.,20 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Льва Толстого ул.,22 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Лесной 2-й проезд,Д.7
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,3акв-л,Фрунзе ул.,10/38 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,12 кв.,Ул.Автостроителей,Д.88
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Мира,49 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Молодежный б-р,Д.20
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ленина улиц.,Д.39
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Вокзальная,45 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,20 кв,Южное ш.,Д.43А
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Мурысева ул.,61 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Коммунистическая,101А дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Никонова,43 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Борковская ул.,69 д.
Автозаводский микрор-н,2А д.,КВ.3б,,г.Тольятти,Самарская обл.,Фрунзе ул.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Коммунальная ул.,Д.31А
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Коммунальная ул.,Д.3
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,11к,Приморский б-р,0 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Молодежный проезд,54 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Колхозный проезд,33 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Бородинский проезд,Д.28
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Бородинский проезд,Д.27
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Восточная ул.,Д.13
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ленина улиц.,127 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Кудашева ул.,120 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,31 квартал,Ул.Юбилейная,4 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,8 КВ-Л,Ст. Разина пр-кт.,82 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Комсомольская ул.,121 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Лесной 4-й проезд,13 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,14 кв-л,Ул.40 лет Победы,Д.74
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,20 кв,Южное ш.,Д.43Б
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Заставная,Д.15
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Ул.40 лет Победы,5 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,12 кв.,Гая б-р.,18А д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Тимирязева пр.,81 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Некрасова проезд,76 д.
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Жигулевская ул.,Д.30
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,20 кв,Южное ш.,Д.31
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.6,улица Революционная,72 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Гидротехническая ул.,33
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Добролюбова проезд,31 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Окраинная,20 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Парковый 8-й проезд,3 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Коммунальная ул.,Д.25
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Северная ул.,39 A д.
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Родины ул.,Д.7
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Коммунистическая,31 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв. 16 кв.,Цветной б-р,9А дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Луговой проезд,Д.26
Самарская обл.,Ставропольский р-н,с.Борковка,,,Советская улиц.,Д.19
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Южное ш.,Д.36
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Коммунальная ул.,Д.36
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,17  кв.,Ул.40 лет Победы,48 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,8 КВ-Л,улица Спортивная,4 д.
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Мира ул.,186
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,2 кв-л,Кулибина б-р,6В дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ульяновой Марии проезд,106 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Пугачевская ул.,68 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Чапаева,73 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Хрящевское ш.,Д.14
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Донской 3-й проезд,4 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Комсомольская ул.,87 дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,улица Чкалова,129 д.
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Березовая ул.,Д.71
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,улица Автозаводская,1 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Мичурина,Д.111
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,8 КВ-Л,Приморский б-р,7 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Енисейский проезд,76 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Мирный 1-й проезд,53А д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Коммунальная ул.,Д.11
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Дзержинского,62 д.
Самарская обл.,Ставропольский р-н,с.Подстепки,,,улица Чкалова,40 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Мира,59 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Матросова улиц.,42А д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Горького,Д.18
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Шлютова улиц.,53 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Баныкина,16А д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Ст. Разина пр-кт.,4А д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,9 к.,Свердлова ул.,11Б дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,12 кв.,Ул.Автостроителей,88А д.
Самарская обл.,Ставропольский р-н,пос.Приморский,,,Спортивная улиц.,2 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.6,Фрунзе ул.,Д.47
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Вокзальная,Д.96Б
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Коммунистическая,38А д.
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Калиновый пер.,Д.17
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Мурысева ул.,64 д.
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Набережная ул.,193 дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,46 улиц.,Д.35У
Самарская обл.,Ставропольский р-н,с.Подстепки,,,улица Чкалова,127 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв. 16 кв.,улица Тополиная,38 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Московский пр-кт,12Г дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,17  кв.,Ул.40 лет Победы,Д.50
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Куйбышева улиц.,26 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ленинградская улиц.,43 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Жилина,56
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Тольяттинская ул.,24 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,7 к.,Фрунзе ул.,31А дом
Самарская обл.,Ставропольский р-н,с.Борковка,,,Рябиновая улиц.,12
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,20 кв,Рябиновый б-р,здание 2А
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,7 к.,Буденого б-р.,здание 4
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Базовая,60 дом
Самарская обл.,Ставропольский р-н,с.Васильевка,,,улица Коллективная,40 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Базовая,Д.46
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Коммунальная ул.,12 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Жигулевское море ст.,здание СТР. ВАГОН
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Ботаническая ул.,58 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,3акв-л,Ул.Юбилейная,Д.31З
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,17  кв.,Ул.70 лет Октября,здание 15А
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Офицерская ул.,5 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Пионерский пр.,здание 16
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Спортивная,здание 34
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Индустриальная ул.,1Б дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,10,Свердлова ул.,22А дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,31 квартал,улица Революционная,5 д.
Набережная ул.,пос.Приморский,Самарская обл.,Ставропольский р-н,33 д.,,
Самарская обл.,Ставропольский р-н,с.Тимофеевка,,,Строителей ул.,110 д.
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Ясный пер.,8 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Новозаводская улиц.,2А СТР.128 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,2 кв-л,улица Революционная,6 д.
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Волжская ул.,здание 11
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Офицерская ул.,78А дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Карла Маркса улиц.,здание 47
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Набережная ул.,Д.135А
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Матросова улиц.,66А д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.6,Королева б-р,15А д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Онежский 8-й проезд,Д.13
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Чайкиной,60 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Кленовая ул.,Д.13
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,7 к.,Ул.Юбилейная,59 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Мира,65
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Свердлова ул.,здание 51
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Ларина,2 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ступиной В. ул.,56 д.
Самарская обл.,Ставропольский р-н,Ягодное село,,,улица Грачева,31 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Обводное ш.,70 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Ул.Громовой,37 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Ул.Громовой,40 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,КВ.3б,Фрунзе ул.,СТР дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Южное ш.,28 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Мичурина,Д.95
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Маховой проезд,10
Самарская обл.,Волжский р-н,с.Мастрюково,,,Подгорная,23 дом
Самарская обл.,Ставропольский р-н,Ягодное село,,,улица Северная,50 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,КВ.3б,Фрунзе ул.,здание 6Д
Самарская обл.,Ставропольский р-н,пос.Приморский,,,Пригородняа ул.,42 дом
Самарская обл.,Ставропольский р-н,с.Васильевка,,,Мира ул.,8 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.4,Ст. Разина пр-кт.,6 д.
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,улица Соловьиная,25 дом
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Строителей улиц.,Д.6
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Магистральная,13
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,8 КВ-Л,Ст. Разина пр-кт.,84 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Васильковая,15 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв. 16 кв.,улица Тополиная,32Б д.
Самарская обл.,,г.Тольятти,Потрпоселок гор.р-н,,улица Комзина,6 д.
Самарская обл.,,г. Самара,,,Авроры,150 д.
Самарская обл.,Ставропольский р-н,Ягодное село,,,улица Полевая,Д.22А
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Ясеневая,11 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,12 кв.,улица Дзержинского,17Г д.
Самарская обл.,,г. Самара,Октябрьский р-н,,улица Ново-Садовая,27 дом
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,2-я лесная ул.,12 дом
Самарская обл.,Ставропольский р-н,с.Васильевка,,,Школьная ул.,Д.16
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Кирова ул.,51 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Ул.40 лет Победы,Д.82А
Самарская обл.,,г.Новокуйбышевск,,,Ул.Зеленая зона,1 д.
Самарская обл.,,г.Новокуйбышевск,,,Ульяновская ул.,1 д.
Самарская обл.,,г. Самара,Советский р-н,,улица Победы,121 д.
Самарская обл.,,г. Самара,,,улица Фрунзе,91/37 дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Солнечная улиц.,Д.206
Самарская обл.,Ставропольский р-н,с.Васильевка,,,Зеленая,21 д.
Самарская обл.,,с.Похвистнево,,,Лермонтова улиц.,19 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Пугачевский 2-й проезд,Д.33
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,17  кв.,Ул.40 лет Победы,36 Э дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Ул.Железнодорожная,49 Б д.
Самарская обл.,Ставропольский р-н,пос.Приморский,,,Набережная ул.,20А дом
Самарская обл.,,г. Самара,Кировский р-н,,Олимпийская улиц.,68 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,13ква-л,Свердлова ул.,Д.1
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Первомайская ул.,89 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Лесной 4-й проезд,Д.6
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв. 16 кв.,Цветной б-р,28 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Автозаводское  ш.,47 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,20 кв,Южное ш.,29 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,20 кв,улица Тополиная,Д.3
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,17  кв.,улица Тополиная,29 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,50 лет Октября б-р,здание 1
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,2 кв-л,Московский пр-кт,11 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,20 кв,Ул.70 лет Октября,26 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.19,Южное ш.,Д.59
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Чайкиной,41 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Чайкиной,39 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.6,Королева б-р,15 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.6,Королева б-р,9 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,10,Луначарского б-р,21
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Победы ул.,44 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.19,Южное ш.,Д.51
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Жукова ул.,3В д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.  5,Орджоникидзе б-р,Д.18
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.6,Приморский б-р,46
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ул.Ставропольская,Д.35
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,7 к.,Ул.Юбилейная,Д.41
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Механизаторов улиц.,14 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Печорский проезд,80 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ягодный проезд,Д.25
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Восточная ул.,2 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Лесной 4-й проезд,17 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.6,Королева б-р,8 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,7 к.,Приморский б-р,10/64 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.19,Татищева б-р,21 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.4,Ул.Юбилейная,7 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Кудашева ул.,118 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,12 кв.,Гая б-р.,16 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.1,улица Революционная,здание 24
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Гидростроевская,24 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Офицерская ул.,12 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,КВ.18,Ул.Автостроителей,2 д.
Самарская обл.,здание 2,,,Восточный 2 пер.,с.Подстепки,Ставропольский р-н
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Московский пр-кт,4
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Никонова,Д.52
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,3акв-л,Новый проезд,8А дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,17  кв.,Ул.40 лет Победы,44А дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Кутузова проезд,14 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Обводное ш.,30
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.4,Ул.Юбилейная,1А д.
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Русичей ул,Д.20
Самарская обл.,Ставропольский р-н,Ягодное село,,,улица 2-я Лесная,14 дом
Самарская обл.,Ставропольский р-н,пос.Приморский,,,Мичурина ул.,Д.38
Самарская обл.,Ставропольский р-н,Ягодное село,,,Ул.Садовая,266 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Запорожский проезд,здание 37
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Чапаева,здание 70
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Мира,123А дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,улица Изумрудная ,24 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Обводная дорога,97 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Московский пр-кт,МАГ дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Кленовая ул.,Д.19
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Новозаводская улиц.,здание 23Д
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.1,улица Революционная,32А дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Коммунистическая,124 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.4,Ст. Разина пр-кт.,Д.ОКОЛО 8
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв. 16 кв.,Ул.70 лет Октября,здание ОСТАНОВКА
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Комсомольская ул.,28 д.
Самарская обл.,Ставропольский р-н,с.Васильевка,,,Мира ул.,49 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Голосова улиц.,73А д.
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Родниковая ул,27 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Малахитовая улиц.,15 д.
Самарская обл.,Ставропольский р-н,с.Васильевка,,,Комсомольская ул.,37
Самарская обл.,Ставропольский р-н,с.Борковка,,,Советская улиц.,Д.38А
Самарская обл.,Ставропольский р-н,с.Борковка,,,Пролетарская,Д.3
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Сосновый проезд,99 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Васильковая,6 д.
Самарская обл.,,г. Самара,Октябрьский р-н,,улица Осипенко,20 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,10,Ворошилова ул.,12В дом
Самарская обл.,,г. Самара,Октябрьский р-н,,улица Осипенко,32 дом
Самарская обл.,,г. Самара,Ленинский р-н,,Владимирская улиц.,Д.22
Самарская обл.,,г.Новокуйбышевск,,,улица Миронова,31А дом
Самарская обл.,,г. Самара,Октябрьский р-н,,1-я просека,22 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Огородный проезд,Д.7
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,11к,Жукова ул.,42А дом
Самарская обл.,,г. Самара,,,(нет),здание ПОС. 113М
Самарская обл.,,г. Самара,,,Строителей улиц.,здание 1
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Матросова улиц.,13
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Набережная ул.,133 дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Солнечная улиц.,17 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Шевченко проезд,25 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Коммунистическая,45А д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Коммунистическая,Д.83А
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,7 к.,Буденого б-р.,6А дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Соловьиная ул.,17 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,14 кв-л,Ул.40 лет Победы,86 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Ларина,здание 189 СТР.22
Самарская обл.,Волжский р-н,с.Мастрюково,,,Подгорная,6 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Лесная,48 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ул.Крупской,здание 53
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,20 кв,Ул.70 лет Октября,здание 34
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.19,улица Тополиная,22 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв. 16 кв.,улица Тополиная,40
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв. 16 кв.,Ул.Автостроителей,13 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,20 кв,Ул.70 лет Октября,24 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,7 к.,Ст. Разина пр-кт.,42 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Советская улиц.,73 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.1,Свердлова ул.,43 дом
г.Тольятти,,улица Тополиная,20 кв,Самарская обл.,23 д.,Автозаводский микрор-н
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Зеленая ул.,9 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Каштановая улиц.,1 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ленина улиц.,102 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ленина улиц.,50 дом
